State_Name,District_Name,Crop_Year,Season,Crop,Area,Production,per production
Kerala,ALAPPUZHA,1997,Whole Year ,Arecanut,2253,1518,0.673768309
Kerala,ALAPPUZHA,1997,Whole Year ,Black pepper,2235,248,0.110961969
Kerala,ALAPPUZHA,1997,Whole Year ,Cashewnut,7205,2358,0.327272727
Kerala,ALAPPUZHA,1997,Whole Year ,Coconut ,77893,399000,5.122411513
Kerala,ALAPPUZHA,1997,Whole Year ,Tapioca,3911,74110,18.94911787
Kerala,ALAPPUZHA,1998,Autumn     ,Rice,8719,17570,2.015139351
Kerala,ALAPPUZHA,1998,Kharif     ,Sesamum,1150,140,0.12173913
Kerala,ALAPPUZHA,1998,Summer     ,Rice,19058,58013,3.044023507
Kerala,ALAPPUZHA,1998,Whole Year ,Arecanut,2067,766,0.370585389
Kerala,ALAPPUZHA,1998,Whole Year ,Banana,324,4493,13.86728395
Kerala,ALAPPUZHA,1998,Whole Year ,Black pepper,2028,256,0.126232742
Kerala,ALAPPUZHA,1998,Whole Year ,Cashewnut,4860,792,0.162962963
Kerala,ALAPPUZHA,1998,Whole Year ,Coconut ,58621,288000000,4912.915167
Kerala,ALAPPUZHA,1998,Whole Year ,Dry ginger,119,224,1.882352941
Kerala,ALAPPUZHA,1998,Whole Year ,Sugarcane,192,4190,21.82291667
Kerala,ALAPPUZHA,1998,Whole Year ,Sweet potato,7,81,11.57142857
Kerala,ALAPPUZHA,1998,Whole Year ,Tapioca,4929,86808,17.61168594
Kerala,ALAPPUZHA,1998,Whole Year ,Turmeric,12,14,1.166666667
Kerala,ALAPPUZHA,1998,Winter     ,Rice,7348,16098,2.190800218
Kerala,ALAPPUZHA,1999,Autumn     ,Rice,8233,24776,3.009352605
Kerala,ALAPPUZHA,1999,Kharif     ,Sesamum,902,126,0.139689579
Kerala,ALAPPUZHA,1999,Summer     ,Rice,16404,39718,2.421238722
Kerala,ALAPPUZHA,1999,Whole Year ,Arecanut,2308,1043,0.451906412
Kerala,ALAPPUZHA,1999,Whole Year ,Banana,536,5418,10.10820896
Kerala,ALAPPUZHA,1999,Whole Year ,Black pepper,1943,242,0.124549665
Kerala,ALAPPUZHA,1999,Whole Year ,Cashewnut,4909,1326,0.270116113
Kerala,ALAPPUZHA,1999,Whole Year ,Coconut ,61270,333000000,5434.960013
Kerala,ALAPPUZHA,1999,Whole Year ,Dry ginger,125,333,2.664
